【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营业务利润率(％)】	【股东权益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【资产负债比(％)】
0.502754821	0.600883978	0.613709761	0.695851604	0.512700178	0.188874169	0.543299373	0.886618243	0.569269521	0.398921833	0.010258915	0.251454231
0.571625344	0.449723757	0.46348578	0.529163532	0.5	0.151231816	0.490693574	0.970554547	0.40302267	0.331536388	0.024670249	0.169096029
0.631404959	0.689502762	0.676007917	0.665761518	0.502035142	0.169409697	0.50244906	0.936317921	0.652392947	0.223719677	0.039472399	0.26122774
1	0.360220994	0.454005626	0.799662404	1	0.131550789	0.009502351	0.259002654	0	0	0	0
0.572176309	0.297127072	0.309928118	0.720932793	0.322453292	0.132811903	0.634992163	0.928300042	0.35768262	0.283018868	0.008060576	0.190019717
0.500550964	0.340331492	0.374934889	0.8654386	0.509564057	0.137130264	0.809952978	0.85609722	0.44836272	0.334231806	0.004298974	0.225502644
0.628650138	0.66961326	0.645796437	0.943727868	0.523153915	0.123563731	0.473158307	0.890431625	0.481108312	0.237196765	0.013287738	0.206724002
0.169421488	0.239779006	0.237420565	0.549199127	0.338044929	0.042482994	0.363048589	0.779745775	0.324937028	0.20754717	0.004738642	0.177384048
0.567768595	0.336574586	0.359308261	0.956277636	0.431750445	0.142989988	0.711990596	0.911370303	0.340050378	0.250673854	0.009086468	0.228361217
0.510743802	0.33038674	0.357224711	0.912591967	0.383229537	0.094583577	0.600803292	0.889425897	0.440806045	0.148247978	0.010747435	0.200218238
0.538567493	0.296132597	0.330138556	0.810615929	0.486287811	0.163053171	0.386167712	0.91923453	0.501259446	0.347708895	0.022569614	0.242360519
0.527548209	0.234033149	0.231169914	0.581601013	0.366470196	0.152633054	0.557895768	0.962983657	0.38790932	0.142857143	0.012750366	0.173603943
0.566115702	0.479558011	0.496822586	0.424472047	0.509586299	0.145474001	0.66075627	0.888727476	0.395465995	0.191374663	0.03234001	0.341415637
0.53415978	0.386740331	0.411397021	0.8465956	0.477546708	0.16790655	0.476586991	0.89171672	0.468513854	0.374663073	0.006204201	0.201807333
0.51707989	0.432044199	0.436399625	0.913674477	0.188979093	0.21856768	0.628330721	0	0.511335013	0.226415094	0.015095261	0.196830115
0.603030303	0.843646409	0.81612668	0.955085041	0.513011566	0.113411123	0.457582288	0.887665875	0.493702771	0.210242588	0.039032731	0.217785108
0.397796143	0.190607735	0.032190853	0.433847678	0.114746441	0.128136863	0.09786442	0.77311077	0.329974811	0.229110512	0.00371275	0.16391167
0.508264463	0.380773481	0.414522346	0.32702787	0.502057384	0.075577692	0.402331505	0.884341388	0.637279597	0.431266846	0.013043478	0.370459077
0.514325069	0.406740331	0.439629128	0.082674348	0.527079626	0.119602048	0.493142633	0.917642129	0.607052897	0.509433962	0.009086468	0.609477393
0.502754821	0.296906077	0.316074591	0.438067629	0.437288701	0.091602762	0.331602665	0.877287331	0.471032746	0.285714286	0.011626771	0.320471655
0.556749311	0.530939227	0.555161996	0.512228685	0.547898132	0.151244554	0.405074451	0.889258276	0.662468514	0.547169811	0.021934538	0.295746627
0.559504132	0.49281768	0.517033024	0.734730198	0.500100089	0.145282923	0.706112853	0.886213158	0.287153652	0.199460916	0.021690278	0.272852635
