【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营业务利润率(％)】	【股东权益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【资产负债比(％)】
0.42498096	0.597003825	0.617445055	0.606342692	0.7332581	0.446201092	0.166234515	0.75883205	0.263814617	0.207156309	0.104515324	0.013600302
0.329017517	0.454632384	0.479788069	0.728338438	0.732902548	0.181073703	0.308032791	0.781839686	0.153297683	0.163841808	0.054048934	0.022383831
0.447067784	0.696876328	0.693681319	0.620781219	0.752504328	0.420837125	0.174301354	0.761178275	0.322638146	0.064030132	0.104322526	0.089251983
0.165270373	0	0.021094976	0.301715424	0	0.416173794	0.091825777	0	0.071301248	0.013182674	0.041565707	0.001605591
0.364813404	0.313429664	0.365482732	0.450853186	0.736782711	0.873180164	0	0.773733848	0.404634581	0.4086629	0.1544276	0.007839063
0.24219345	0.382277943	0.427884615	0.504971259	0.728264902	0.892515924	0.102118855	0.766005563	0.285204991	0.261770245	0.122826099	0.001133359
0.396039604	0.675733107	0.659340659	0.925483925	0.79000742	0.408098271	0.134124303	0.76133623	0.199643494	0.080979284	0.076944139	0.020306007
0.195734958	0.235762856	0.258045526	0.750335692	0.482191442	0.548339399	0.089154291	0.730114884	0.087344029	0.062146893	0.058746607	9.44E-04
0.070068545	0.308861028	0.348018053	0.900348516	0.715186743	0.379549591	0.09138053	0.749647489	0.092691622	0.092278719	0.082507139	0.003022289
0.250571211	0.323948151	0.364010989	0.946349633	0.546438288	0.513193813	0.114533407	0.758415971	0.178253119	0.020715631	0.073765913	0.012278051
0.249047982	0.294730132	0.343406593	0.662256152	0.697733737	0.263989991	0.115554857	0.769372722	0.233511586	0.18079096	0.104967968	0.033622969
0.258187357	0.237781555	0.247252747	0.789049652	0.532927282	0.562101911	0.158324821	0.779516578	0.130124777	0.016949153	0.057265985	0.006611258
0.330540746	0.471631959	0.50922292	0.353419532	0.729702572	0.605095541	0.104030801	0.758450645	0.151515152	0.062146893	0.165365136	0.036834152
0.306930693	0.383765406	0.422291994	0.960908858	0.703870888	0.390127389	0.136219586	0.759837575	0.181818182	0.177024482	0.069857793	0.006139025
0.507996954	0.411070973	0.424843014	0.961150254	0.328036112	0.386828935	0.444566669	0	0.221033868	0.062146893	0.070369695	0.048073291
0	0.787824054	0.771291209	0.72971138	0.683774425	0.363739763	0.093240093	0.756393364	0.226381462	0.062146893	0.094660298	0.08141292
0.148514851	0.187845304	0	0.652238198	0.165826738	0	0.112438124	0.724798317	0.087344029	0.077212806	0.051246233	3.78E-04
0.250571211	0.377284318	0.429748823	0.362004194	0.719917141	0.285828025	0.173017993	0.758789672	0.308377897	0.237288136	0.156085083	0.02021156
0.289413557	0.375159371	0.417288069	0.14498876	0.716593495	0.404913558	0.105837982	0.76334728	0.333333333	0.31826742	0.279208379	0.011994711
0.246001523	0.296642584	0.341542386	0.414447579	0.628895622	0.123976342	0.11613106	0.757283311	0.190730838	0.13559322	0.141034255	0.010672459
0.287128713	0.527518062	0.560733909	0.469199318	0.791104996	0.278548681	0.126083654	0.7599493	0.336898396	0.29566855	0.134654026	0.031922932
0.29322163	0.487569061	0.523940345	0.653173609	0.715186743	0.5961101	0.138079149	0.758435234	0.078431373	0.077212806	0.115864048	0.02540612
0.248286367	0.390033999	0.40521978	0.920188289	0.714011872	0.313125569	0.148398418	0.758631716	0.130124777	0.06779661	0.075394038	0.007555723
0.353389185	0.675626859	0.246271586	0.747378585	0.817941504	0.351342129	0.150546083	0.759856838	0.210338681	0.075329567	0.097414121	0.044673215
0.203351104	0.228325542	0.265894819	0.827808874	0.470983799	0.470427662	0.102197428	0.745436613	0.049910873	0.035781544	0.058577574	0.005100113
0.292460015	0.440820229	0.473901099	0.182737134	0.736674499	0.607825296	0.11183573	0.759329034	0.711229947	0.508474576	0.258505093	0.010861352
0.427265804	0.478219295	0.500294349	0.860457748	0.777748578	0.58177889	0.263508028	0.778056448	0.073083779	0.06779661	0.119341399	0.038723083
0.380045697	0.322354441	0.357142857	0.896184427	0.731913183	0.511715196	0.397815667	0.76085851	0.160427807	0.107344633	0.076070138	0.179353986
0.245239909	0.352634934	0.367248823	0.772604517	0.661591022	0.531847134	0.104161756	0.760007089	0.203208556	0.033898305	0.083235759	0.017567057
0.201827875	0.211432214	0.216149922	0.718682579	0.338532649	0.334736124	0.102904586	1	0.099821747	0.075329567	0.055901104	0.008877975
0.299314547	0.394071398	0.435635793	0.483788718	0.628199975	0.848384895	0.101778371	0.756139094	0.185383244	0.065913371	0.133278902	0.0355119
0.453160701	0.399383765	0.421899529	0.930538163	0.715635048	0.284121929	0.136402923	0.761459513	0.174688057	0.103578154	0.07632109	0.07895731
0.237623762	0.337972801	0.384615385	0.397112295	0.659024858	1	0.099735471	0.755252999	0	0	0.145676274	0.023989422
0.319116527	0.302698683	0.324764521	0.974970203	0.554445956	0.30789354	0.229957309	0.899828945	0.162210339	0.099811676	0.068531513	0.084718549
0.343488195	0.388865278	0.402276295	0.999562469	0.705030299	0.315286624	0.216023677	0.752879807	0.147950089	0.120527307	0.067095066	0.069040423
0.348057883	0.452507437	0.483712716	0.829966355	0.784875093	0.488626024	0.167989314	0.760700554	0.210338681	0.114877589	0.097376847	0.062240272
