【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【净资产收益率(％)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
0.241	3.89	3.783	6.2	51.192	0.1169	30.21	4.48	23.31	17.14	1.46	-39.9	1.69	1.3	1.44	2.68	48.7
0.115	2.55	2.38	4.5	5.825	0.1146	85.64	-100	0	71.28	61.18	0.04	1.07	1.07	2.37	0	94.17
0.27	4.83	4.56	5.59	50.235	0.2414	69.67	67.25	21.08	20.22	7.55	48.76	2.02	0.54	9.45	0.52	48.79
-0.1	-1.729	-2.295	5.773	-22.452	-4.6264	-26.38	-30.92	20.67	-11.27	-1968.21	53.48	0.61	0.27	0.17	0.08	122.45
0.162	1.221	1.215	13.246	61.498	0.1397	-62.06	-30.79	60.85	-46.33	40.14	113.95	2.48	2.37	0.83	2.3	32.96
0.001	1.869	1.851	0.026	57.911	0.0846	-20.19	-16.54	62.55	-7.34	20.08	-91.99	1.81	1.59	0.12	0.1	41.44
0.203	4.631	4.21	4.384	30.039	0.484	2.27	48.55	19.96	4.88	7.96	80.93	1.33	0.63	2.15	0.36	66.15
-0.06	0.49	0.12	-11.65	7.283	-1.5072	-66.62	-60.74	32.29	-12.29	-73.08	71.7	0.7	0.53	0.1	0.04	86.64
-0.225	1.178	1.037	-19.065	31.705	0	-79.56	-90.89	17.45	-11.44	-22.38	-164.63	0.73	0.69	0.32	1.84	61.69
0.012	1.32	1.2	0.93	28.656	-1.0916	29.48	14.76	29.2	-2.6	0.38	-43.24	1.21	0.31	1.3	0.09	69
0.01	1.045	0.99	0.996	47.486	-0.1129	-1.39	-16.5	7.29	-2.21	28.82	163.72	1.52	1.16	3.56	3.96	48.49
0.022	0.509	0.01	4.26	9.849	-1.179	-4.2	24.38	33.5	14.12	55.15	10.99	0.94	0.29	0.7	0.1	88.88
0.117	2.71	2.68	4.31	67.956	0.0939	3.26	-2.69	37.28	-6.61	0.47	-1.26	1.06	0.53	3.9	0.62	30.78
0.086	1.883	1.794	4.543	21.24	-0.0732	19.51	30.26	18.38	5.68	4.07	41.72	1.23	1.14	0.65	2.81	72.86
0.35	2.14	1.82	16.55	27.675	-2.5044	495.57	619.47	18.09	123.41	100826.8	195.02	1.45	0.53	5.09	1.78	72.33
-0.317	5.686	5.351	-5.579	43.015	-0.2032	-12.63	-18.84	16.06	-10.73	-4.87	-241.69	1.48	0.53	8.62	0.59	53.77
-0.122	0.039	-2.51	-312.09	0.781	-3.5537	-13.2	72.35	-15.92	-3.4	-86.88	10.04	0.7	0.61	0.04	0.12	99.32
0.012	1.822	1.87	0.663	67.387	0.0306	-18.83	-29.82	9.21	19.73	1.35	-47.59	1.94	1.46	2.14	1.01	32.61
0.063	1.802	1.743	3.47	81.771	0.0091	-12.89	16.66	19.68	-5.92	13.18	-1.79	2.08	1.89	1.27	3.57	18.23
0.006	1.063	0.971	0.538	63.911	-0.5582	-26.61	-256.03	-5.02	-1.99	-2.56	-56.22	1.28	0.92	1.13	0.63	36.09
