【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
0.792089249	0.535664336	0.60042061	0.757714622	0.813850796	0.127157193	0.039279075	0.651980198	0.382814169	0.450771542	0.627879269	0.079739218	0.077365395	0.02984127	0.010625641	0.118870552
0.502028398	0.277482517	0.36382755	0.130118557	0.823761745	0.097214024	0.020272824	0.455610561	0.424817331	0.328053166	0.581009713	0.027582748	0.046001045	0.026243386	0	0.051698096
0.567951318	0.627972028	0.657670289	0.819725889	0.838799892	0.163975601	0.045678331	0.588778878	0.372430885	0.592471209	0.603061466	0.091273821	0.03711448	0.076402116	0.001517949	0.113421751
0.167342799	0.012587413	0.018576937	0.022408139	0.092829281	0.056089911	0.023459684	0.594059406	0.271460924	0	0.113700654	0.020561685	0.016204914	0.008465608	0.000410256	0.049022408
0.462474645	0.121818182	0.214744713	0.495123182	0.343056203	0.127573874	0.061441544	0.687541254	0.245096782	0.444080295	0.999916391	0.012036108	0.030318871	0.035555556	0.171569231	0.076052477
0.39148073	0.274125874	0.383105503	0.939376104	0.886563796	0.449784136	0.087181569	0.905775578	0.361449387	0.42450726	0.531652802	0.042627884	0.053319394	0.003174603	0.000738462	0.08941534
0.498985801	0.6	0.593410445	0.613407046	0.832225302	0.116381356	0.034465588	0.525660066	0.339101825	0.402794847	0.572307456	0.045636911	0.029796132	0.025608466	0.001805128	0.072310407
0.182555781	0.254545455	0.30482533	0.498801816	0.735937002	0.030649212	0.017887786	0.638778878	0.269751741	0.301015067	0	0.018054162	0.024046001	0.004232804	0	0.067284235
0.738336714	0.212307692	0.318261479	0.76040528	0.670657214	0.237716587	0.164294396	0.735148515	0.389009956	0.491965952	0.750073157	0.028084253	0.044432828	0.032592593	0.042912821	0.087733099
0.407707911	0.183216783	0.307162052	0.584440427	0.514118195	0.082526014	0.034915017	0.684158416	0.270990899	0.442669216	0.770592088	0.048144433	0.014113957	0.069206349	0.000246154	0.069521974
0.369168357	0.113286713	0.255754177	0.757756664	0.672693374	0.140074308	0.045228902	0.483333333	0.312694954	0.275479084	0.661071862	0.043129388	0.050705698	0.051428571	0.025641026	0.08062967
0.405679513	0.045874126	0.171398528	0.152274447	0.456737728	0.157968448	0.039914915	0.625165017	0.261718583	0.116891984	0.651101543	0.030090271	0.013591218	0.014179894	0.000492308	0.053177679
0.507099391	0.377622378	0.464890758	0.672370302	0.80982754	0.128314641	0.048768156	0.738778878	0.265735162	0.399335427	1	0.029588766	0.021955044	0.04952381	0.001928205	0.136733313
0.446247465	0.253146853	0.359738287	0.453396956	0.719696784	0.044689052	0.028490225	0.551485149	0.184848096	0.347079976	0.656438555	0.032597793	0.048614741	0.008465608	0.003692308	0.066345353
0.010141988	0.00027972	0.141137983	0.001282267	0	0.053937058	0.037729056	0.535808581	0.26987993	0.888115071	0.637961066	0.008525577	0.023523262	0.017777778	0.010830769	0.055483502
0.612576065	0.918881119	0.887837364	0.848482301	0.861369379	0.1187194	0.035941554	0.554950495	0.386574371	0.712731576	0.559027633	0.062688064	0.02456874	0.127407407	0.002584615	0.084996174
