主营收入增长率	每股收益增长率	净资产收益率	主营利润增长率	存货周转率
0.075640223	0.722639185	0.904533609	0.042174877	0.074818537
0.111778282	0.734525099	0.899702458	0.025260244	0
0.101366505	0.749023891	0.902800078	0.052336933	0.01451703
0.038745893	0.750428536	0.903320138	0.036443847	0.002233389
0.015484014	0.76842406	0.92455731	0.036464893	0.064209939
0.042781516	0.7071375	0.886988005	0.038771876	0.002791736
0.057424503	0.758597498	0.899372803	0.049309524	0.010050251
0.012511083	0.755850703	0.853806521	0.031616183	0.001116695
0.004074741	0.685520254	0.832734176	0.026735094	0.051367951
0.075164294	0.72164522	0.88955704	0.043839143	0.002512563
0.055038335	0.783235326	0.889744603	0.038778352	0.110552764
0.053206332	0.737783756	0.899020413	0.045396558	0.002791736
0.058069942	0.734138227	0.899162506	0.041014101	0.017308766
0.068664267	0.746928827	0.899824658	0.046348492	0.078447795
0.379035623	0.792550026	0.933946795	0.141737765	0.049692909
0.047710322	0.662587642	0.871059415	0.038399521	0.016471245
0.047338705	0.737501042	0	0.05316259	0.003350084
0.043668179	0.720350685	0.888798265	0.03662193	0.028196538
0.047540813	0.733980502	0.896775349	0.04414674	0.099664992
0.038595942	0.717782447	0.888443034	0	0.01758794
0.052058885	0.726930494	0.892217015	0.037284075	0.111390285
0.053747457	0.724255122	0.89364931	0.039157182	0.247906198
0.033647577	0.708908186	0.888289574	0.032114815	0.012562814
0.060475669	0.728841049	0.895922793	0.039626674	0.025963149
0.037292025	0.760153916	0.851618294	0.039780472	0.015354551
0.048505711	0.771536896	0.894757633	0.038452946	0.010329425
0.106171439	0.739750854	0.911979266	0.060943192	0.190396427
1	0.786675515	0.926557975	0.239257556	0.115298716
0.046686747	0.712547764	0.887769514	0.036778967	0.002233389
0.039208783	0.754919233	0.830685199	0.037816704	0.029592406
0.044039796	0.877888152	0.897826834	0.042126309	0.00307091
0.086443175	0.738843192	0.925847512	0.047475271	0.183975433
0.053695301	0.753949076	0.885947886	0.041059431	0.17532105
0.224612737	0.791195972	0.912718148	0.062432612	0.060022334
0.084826318	0.726433511	0.906690576	0.041048099	0.159408152
0.059373859	0.722844525	0.902743241	0.050083375	0.041038526
0.069400981	0.738920566	0.915162142	0.048022471	0.120882189
0.027206228	0.75146714	0.904277842	0.035514579	0.040201005
0.056707349	0.753639578	0.92743895	0.048279881	0.060301508
0.042279508	0.623495661	0.882969623	0.038274863	0.007537688
0.047175716	0.756529218	0.900839199	0.045103531	0.005583473
0.099332395	0.758079684	0.905749923	0.049782253	0.06588498
0.153660095	0.741119788	0.902251601	0.057669705	0.068676717
0.031932927	0.716398633	0.889738919	0.034209717	0.010050251
0.040884316	0.717830062	0.891262152	0.036947336	0.021217197
0.059263026	0.707729713	0.888471452	0.036778967	0.034338358
0	0.724951492	0.900498177	0.028619534	0.005583473
0.063220414	0.720939922	0.904959887	0.040567275	0.070351759
0.075640223	0.722639185	0.904533609	0.042174877	0.074818537
0.079897512	0.735045889	0.90626714	0.044829931	0.386460357
0.055944557	0.734513195	0.910359409	0.041449594	0
0.103237626	0.726385896	0.892256801	0.04908773	0.062255723
0.041438481	0.719904294	0.895641449	0.036315951	0.036292574
0.055944557	0.734513195	0.903985131	0.041449594	0.038525963
0.05747666	0.72652279	0.892305113	0.04270265	0.016471245
0.038393835	0.728623805	0.900839199	0.039027668	0.15773311
0.109998435	0.724287857	0.893598156	0.049689974	1
0.055944557	0.734513195	0.894044327	0.041449594	0.206309324
0.055944557	0.734513195	0.894047169	0.041449594	0.033221664
0.055944557	0.734513195	0.910586758	0.041449594	0.128699051
0.077270119	0.727323318	0.893180404	0.045359323	0.516750419
0.065854326	0.733870392	0.935140373	0.042025935	0.067560022
0.06799927	0.736760032	0.896292233	0.04299244	0.093802345
0.085928128	0.748434654	0.890239085	0.051381761	0.054159687
0.077863402	0.718297285	0.894643958	0.036103871	0.540759352
0.055605539	0.734730439	0.897914932	0.039929414	0.075376884
0.067099567	0.74512243	0.893592472	0.043839143	0.06811837
0.124328483	0.736039854	0.89815649	0.046813126	0.058626466
0.066278099	0.733319842	0.906167675	0.041975748	0.056113903
0.055944557	0.723528992	0.892620559	0.037368259	0.015354551
0.086006363	0.736655874	0.890219192	0.045186097	0.025125628
0.064185313	0.743952885	0.91072885	0.045284852	0.20212172
0.085002347	0.735983311	0.892819488	0.042050219	0.194304858
0.06925103	0.727228088	0.902118034	0.037766517	0.092964824
0.09641814	0.747006202	0.897934825	0.050703427	0.05360134
0.087277682	0.740551383	0.900674372	0.052999077	0.682300391
0.116446305	0.745711667	0.896636098	0.043345367	0.065605807
0.047788557	0.731870558	0.893592472	0.039791805	0.027638191
0.040747405	0.728114919	0.896036467	0.038048212	0.046342825
0.066591039	0.731444999	0.905329328	0.04423902	0.034059185
0.116641892	0.727942314	0.897312459	0.046999304	0.112786153
0.052567413	0.722475508	0.903192254	0.038179346	0.185371301
0.063794138	0.726873951	0.896769665	0.044423578	0.050809604
0.171093465	0.749488138	0.89864813	0.064014311	0.032663317
0.092252125	0.738843192	0.916583069	0.050622481	0.081518705
0.125801909	0.740122847	0.893544161	0.059275688	0.057788945
0.102944245	0.753398526	0.891802105	0.053518755	0.331937465
0.047625567	0.727430452	0.894302936	0.04201946	0.010050251
0.044587441	0.71833002	0.89228522	0.036201007	0.081797878
0.077120169	0.735394074	0.896661674	0.045477505	0.077051926
0.055944557	0.734513195	0.897286882	0.041449594	0.029592406
0.062783602	0.731299177	0.898392363	0.043426314	0.031267448
0.012198143	0.726442439	0.333235763	0.057710178	0.004466778
0.052274031	0.73042425	0.896206978	0.037005618	0
0.075724978	0.730736724	0.912206614	0.046204407	0.194584031
0.062275074	0.72622222	0.894530284	0.041616345	0.142099386
0.101366505	0.749023891	0.902800078	0.052336933	0.01451703
