【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
0.42498 	0.59700 	0.61745 	0.60634 	0.73326 	0.07564 	0.04217 	0.44620 	0.16623 	0.75883 	0.72264 	0.26381 	0.20716 	0.01360 	0.07482 	0.10452 
0.32902 	0.45463 	0.47979 	0.72834 	0.73290 	0.11178 	0.02526 	0.18107 	0.30803 	0.78184 	0.73453 	0.15330 	0.16384 	0.02238 	0.00000 	0.05405 
0.44707 	0.69688 	0.69368 	0.62078 	0.75250 	0.10137 	0.05234 	0.42084 	0.17430 	0.76118 	0.74902 	0.32264 	0.06403 	0.08925 	0.01452 	0.10432 
0.16527 	0.00000 	0.02109 	0.30172 	0.00000 	0.03875 	0.03644 	0.41617 	0.09183 	0.00000 	0.75043 	0.07130 	0.01318 	0.00161 	0.00223 	0.04157 
0.36481 	0.31343 	0.36548 	0.45085 	0.73678 	0.01548 	0.03646 	0.87318 	0.00000 	0.77373 	0.76842 	0.40463 	0.40866 	0.00784 	0.06421 	0.15443 
0.24219 	0.38228 	0.42788 	0.50497 	0.72826 	0.04278 	0.03877 	0.89252 	0.10212 	0.76601 	0.70714 	0.28520 	0.26177 	0.00113 	0.00279 	0.12283 
0.39604 	0.67573 	0.65934 	0.92548 	0.79001 	0.05742 	0.04931 	0.40810 	0.13412 	0.76134 	0.75860 	0.19964 	0.08098 	0.02031 	0.01005 	0.07694 
0.19573 	0.23576 	0.25805 	0.75034 	0.48219 	0.01251 	0.03162 	0.54834 	0.08915 	0.73011 	0.75585 	0.08734 	0.06215 	0.00094 	0.00112 	0.05875 
0.07007 	0.30886 	0.34802 	0.90035 	0.71519 	0.00407 	0.02674 	0.37955 	0.09138 	0.74965 	0.68552 	0.09269 	0.09228 	0.00302 	0.05137 	0.08251 
0.25057 	0.32395 	0.36401 	0.94635 	0.54644 	0.07516 	0.04384 	0.51319 	0.11453 	0.75842 	0.72165 	0.17825 	0.02072 	0.01228 	0.00251 	0.07377 
0.24905 	0.29473 	0.34341 	0.66226 	0.69773 	0.05504 	0.03878 	0.26399 	0.11555 	0.76937 	0.78324 	0.23351 	0.18079 	0.03362 	0.11055 	0.10497 
0.25819 	0.23778 	0.24725 	0.78905 	0.53293 	0.05321 	0.04540 	0.56210 	0.15832 	0.77952 	0.73778 	0.13012 	0.01695 	0.00661 	0.00279 	0.05727 
0.33054 	0.47163 	0.50922 	0.35342 	0.72970 	0.05807 	0.04101 	0.60510 	0.10403 	0.75845 	0.73414 	0.15152 	0.06215 	0.03683 	0.01731 	0.16537 
0.30693 	0.38377 	0.42229 	0.96091 	0.70387 	0.06866 	0.04635 	0.39013 	0.13622 	0.75984 	0.74693 	0.18182 	0.17702 	0.00614 	0.07845 	0.06986 
0.50800 	0.41107 	0.42484 	0.96115 	0.32804 	0.37904 	0.14174 	0.38683 	0.44457 	0.00000 	0.79255 	0.22103 	0.06215 	0.04807 	0.04969 	0.07037 
0.00000 	0.78782 	0.77129 	0.72971 	0.68377 	0.04771 	0.03840 	0.36374 	0.09324 	0.75639 	0.66259 	0.22638 	0.06215 	0.08141 	0.01647 	0.09466 
0.14851 	0.18785 	0.00000 	0.65224 	0.16583 	0.04734 	0.05316 	0.00000 	0.11244 	0.72480 	0.73750 	0.08734 	0.07721 	0.00038 	0.00335 	0.05125 
0.25057 	0.37728 	0.42975 	0.36200 	0.71992 	0.04367 	0.03662 	0.28583 	0.17302 	0.75879 	0.72035 	0.30838 	0.23729 	0.02021 	0.02820 	0.15609 
0.28941 	0.37516 	0.41729 	0.14499 	0.71659 	0.04754 	0.04415 	0.40491 	0.10584 	0.76335 	0.73398 	0.33333 	0.31827 	0.01199 	0.09966 	0.27921 
0.24600 	0.29664 	0.34154 	0.41445 	0.62890 	0.03860 	0.00000 	0.12398 	0.11613 	0.75728 	0.71778 	0.19073 	0.13559 	0.01067 	0.01759 	0.14103 
0.28713 	0.52752 	0.56073 	0.46920 	0.79110 	0.05206 	0.03728 	0.27855 	0.12608 	0.75995 	0.72693 	0.33690 	0.29567 	0.03192 	0.11139 	0.13465 
0.29322 	0.48757 	0.52394 	0.65317 	0.71519 	0.05375 	0.03916 	0.59611 	0.13808 	0.75844 	0.72426 	0.07843 	0.07721 	0.02541 	0.24791 	0.11586 
0.24829 	0.39003 	0.40522 	0.92019 	0.71401 	0.03365 	0.03211 	0.31313 	0.14840 	0.75863 	0.70891 	0.13012 	0.06780 	0.00756 	0.01256 	0.07539 
0.35339 	0.67563 	0.24627 	0.74738 	0.81794 	0.06048 	0.03963 	0.35134 	0.15055 	0.75986 	0.72884 	0.21034 	0.07533 	0.04467 	0.02596 	0.09741 
0.20335 	0.22833 	0.26589 	0.82781 	0.47098 	0.03729 	0.03978 	0.47043 	0.10220 	0.74544 	0.76015 	0.04991 	0.03578 	0.00510 	0.01535 	0.05858 
0.29246 	0.44082 	0.47390 	0.18274 	0.73667 	0.04851 	0.03845 	0.60783 	0.11184 	0.75933 	0.77154 	0.71123 	0.50847 	0.01086 	0.01033 	0.25851 
0.42727 	0.47822 	0.50029 	0.86046 	0.77775 	0.10617 	0.06094 	0.58178 	0.26351 	0.77806 	0.73975 	0.07308 	0.06780 	0.03872 	0.19040 	0.11934 
0.38005 	0.32235 	0.35714 	0.89618 	0.73191 	1.00000 	0.23926 	0.51172 	0.39782 	0.76086 	0.78668 	0.16043 	0.10734 	0.17935 	0.11530 	0.07607 
0.24524 	0.35263 	0.36725 	0.77260 	0.66159 	0.04669 	0.03678 	0.53185 	0.10416 	0.76001 	0.71255 	0.20321 	0.03390 	0.01757 	0.00223 	0.08324 
0.20183 	0.21143 	0.21615 	0.71868 	0.33853 	0.03921 	0.03782 	0.33474 	0.10290 	1.00000 	0.75492 	0.09982 	0.07533 	0.00888 	0.02959 	0.05590 
0.29931 	0.39407 	0.43564 	0.48379 	0.62820 	0.04404 	0.04213 	0.84838 	0.10178 	0.75614 	0.87789 	0.18538 	0.06591 	0.03551 	0.00307 	0.13328 
0.45316 	0.39938 	0.42190 	0.93054 	0.71564 	0.08644 	0.04748 	0.28412 	0.13640 	0.76146 	0.73884 	0.17469 	0.10358 	0.07896 	0.18398 	0.07632 
0.23762 	0.33797 	0.38462 	0.39711 	0.65902 	0.05370 	0.04106 	1.00000 	0.09974 	0.75525 	0.75395 	0.00000 	0.00000 	0.02399 	0.17532 	0.14568 
0.31912 	0.30270 	0.32476 	0.97497 	0.55445 	0.22461 	0.06243 	0.30789 	0.22996 	0.89983 	0.79120 	0.16221 	0.09981 	0.08472 	0.06002 	0.06853 
0.34349 	0.38887 	0.40228 	0.99956 	0.70503 	0.08483 	0.04105 	0.31529 	0.21602 	0.75288 	0.72643 	0.14795 	0.12053 	0.06904 	0.15941 	0.06710 
0.34806 	0.45251 	0.48371 	0.82997 	0.78488 	0.05937 	0.05008 	0.48863 	0.16799 	0.76070 	0.72284 	0.21034 	0.11488 	0.06224 	0.04104 	0.09738 
0.37852 	0.37282 	0.41209 	0.34619 	0.74264 	0.06940 	0.04802 	0.46076 	0.21893 	0.77761 	0.73892 	0.22103 	0.20904 	0.03627 	0.12088 	0.16123 
0.29627 	0.30854 	0.35773 	0.42444 	0.61234 	0.02721 	0.03551 	0.27582 	0.09809 	0.75831 	0.75147 	0.26025 	0.20151 	0.00963 	0.04020 	0.20674 
1.00000 	0.92531 	0.91150 	0.91328 	1.00000 	0.05671 	0.04828 	0.42732 	0.11417 	0.76784 	0.75364 	0.26560 	0.17702 	0.02531 	0.06030 	0.08276 
0.21478 	0.45134 	0.47704 	0.62787 	0.72717 	0.04228 	0.03827 	0.58508 	0.13866 	0.75763 	0.62350 	0.10695 	0.05838 	0.01379 	0.00754 	0.10934 
0.43945 	0.75425 	0.72606 	0.88813 	0.79851 	0.04718 	0.04510 	0.51979 	0.16689 	0.76249 	0.75653 	0.18538 	0.05273 	0.02049 	0.00558 	0.07982 
0.47677 	0.67839 	0.70300 	0.10649 	0.84198 	0.09933 	0.04978 	0.55380 	0.13761 	0.76047 	0.75808 	0.69162 	0.61394 	0.11088 	0.06588 	0.32462 
0.41584 	0.63515 	0.65738 	0.26976 	0.77512 	0.15366 	0.05767 	0.49886 	0.38697 	0.90208 	0.74112 	0.52941 	0.45198 	0.06007 	0.06868 	0.21595 
0.26657 	0.53666 	0.56976 	0.30318 	0.72323 	0.03193 	0.03421 	0.27798 	0.10911 	0.75859 	0.71640 	0.59358 	0.44633 	0.00992 	0.01005 	0.17729 
0.28104 	0.54579 	0.56996 	0.67372 	0.75056 	0.04088 	0.03695 	0.31096 	0.26102 	0.81576 	0.71783 	0.25312 	0.16949 	0.01426 	0.02122 	0.09624 
0.25286 	0.47439 	0.49745 	0.50828 	0.70715 	0.05926 	0.03678 	0.46269 	0.29999 	0.82003 	0.70773 	0.26916 	0.22787 	0.01417 	0.03434 	0.12030 
0.33206 	0.44826 	0.49058 	0.80491 	0.75405 	0.00000 	0.02862 	0.37091 	0.02768 	0.75559 	0.72495 	0.21390 	0.06026 	0.00283 	0.00558 	0.08224 
0.38995 	0.50924 	0.54592 	0.49035 	0.73878 	0.06322 	0.04057 	0.56711 	0.14130 	0.75935 	0.72094 	0.22282 	0.13559 	0.04703 	0.07035 	0.12844 
0.42498 	0.59700 	0.61745 	0.60634 	0.73326 	0.07564 	0.04217 	0.44620 	0.16623 	0.75883 	0.72264 	0.26381 	0.20716 	0.01360 	0.07482 	0.10452 
0.62986 	0.97631 	0.97822 	0.40619 	0.75039 	0.07990 	0.04483 	0.88581 	0.12828 	0.75993 	0.73505 	0.06061 	0.06591 	0.05128 	0.38646 	0.17859 
0.55369 	0.70644 	0.70840 	0.24452 	0.78137 	0.05594 	0.04145 	0.84224 	0.12134 	0.75827 	0.73451 	0.90909 	0.96234 	0.00000 	0.00000 	0.30589 
0.29246 	0.56088 	0.58673 	0.54239 	0.73561 	0.10324 	0.04909 	0.36499 	0.23734 	0.79463 	0.72639 	0.21747 	0.18267 	0.08604 	0.06226 	0.12602 
0.31074 	0.49989 	0.53807 	0.23992 	0.74559 	0.04144 	0.03632 	0.65378 	0.63280 	0.84064 	0.71990 	0.40642 	0.41431 	0.01521 	0.03629 	0.20758 
0.39528 	0.54027 	0.57310 	0.34904 	0.79358 	0.05594 	0.04145 	0.81256 	0.12134 	0.75827 	0.73451 	0.63102 	0.58757 	0.01549 	0.03853 	0.16148 
0.30465 	0.65002 	0.67474 	0.23470 	0.75090 	0.05748 	0.04270 	0.53594 	0.42615 	0.86234 	0.72652 	0.48128 	0.40678 	0.02371 	0.01647 	0.21050 
0.35187 	0.49713 	0.52394 	0.66431 	0.74181 	0.03839 	0.03903 	0.39479 	0.11645 	0.79968 	0.72862 	0.20677 	0.19397 	0.04600 	0.15773 	0.10482 
0.29855 	0.52157 	0.55465 	0.08229 	0.72766 	0.11000 	0.04969 	0.64763 	1.00000 	0.87125 	0.72429 	0.78253 	0.82674 	0.04382 	1.00000 	0.36176 
0.30769 	0.55259 	0.58114 	0.58026 	0.76229 	0.05594 	0.04145 	0.37022 	0.12134 	0.75827 	0.73451 	0.11230 	0.09416 	0.00000 	0.20631 	0.10825 
0.29551 	0.48544 	0.51560 	0.57215 	0.73919 	0.05594 	0.04145 	0.38137 	0.12134 	0.75827 	0.73451 	0.29234 	0.24859 	0.00000 	0.03322 	0.11046 
0.44707 	0.52794 	0.56024 	0.45292 	0.79406 	0.05594 	0.04145 	0.30710 	0.12134 	0.75827 	0.73451 	0.32264 	0.26365 	0.00000 	0.12870 	0.13173 
0.29246 	0.50542 	0.54082 	0.38384 	0.74258 	0.07727 	0.04536 	0.78276 	0.51018 	0.82089 	0.72732 	0.28877 	0.30508 	0.01454 	0.51675 	0.16021 
0.62300 	0.49713 	0.53571 	0.36298 	0.79194 	0.06585 	0.04203 	0.45450 	0.14274 	0.76539 	0.73387 	0.66845 	0.35970 	0.05846 	0.06756 	0.15575 
0.30693 	0.46164 	0.24627 	0.80374 	0.73048 	0.06800 	0.04299 	0.35009 	0.18855 	0.75898 	0.73676 	0.21925 	0.16761 	0.05091 	0.09380 	0.08577 
0.26580 	0.47025 	0.49107 	0.59252 	0.74337 	0.08593 	0.05138 	0.33690 	0.15890 	0.76140 	0.74843 	0.17291 	0.16949 	0.00803 	0.05416 	0.10628 
0.28713 	0.41638 	0.45801 	0.79404 	0.72817 	0.07786 	0.03610 	0.33815 	0.11925 	0.75688 	0.71830 	0.09269 	0.09605 	0.02267 	0.54076 	0.09291 
0.33968 	0.53889 	0.56907 	0.00000 	0.75274 	0.05561 	0.03993 	0.64638 	0.13069 	0.76097 	0.73473 	0.00000 	0.00000 	0.00614 	0.07538 	1.00000 
0.29170 	0.48332 	0.51315 	0.41906 	0.72641 	0.06710 	0.04384 	0.39206 	0.10922 	0.75823 	0.74512 	0.27094 	0.25424 	0.00954 	0.06812 	0.13983 
0.37319 	0.64779 	0.67210 	0.07744 	0.74031 	0.12433 	0.04681 	0.43722 	0.13776 	0.75967 	0.73604 	0.85740 	0.88136 	0.07480 	0.05863 	0.39921 
0.36329 	0.43466 	0.47096 	0.40864 	0.74940 	0.06628 	0.04198 	0.48248 	0.14177 	0.76036 	0.73332 	0.47237 	0.39925 	0.05865 	0.05611 	0.19953 
0.27570 	0.42318 	0.46399 	0.74465 	0.72579 	0.05594 	0.03737 	0.48556 	0.17294 	0.75750 	0.72353 	0.26738 	0.20527 	0.02125 	0.01535 	0.08779 
0.26961 	0.52582 	0.54307 	0.90086 	0.72469 	0.08601 	0.04519 	0.38069 	0.19117 	0.75942 	0.73666 	0.15865 	0.11488 	0.01832 	0.02513 	0.07825 
0.44478 	0.52199 	0.55347 	0.54447 	0.74635 	0.06419 	0.04528 	0.32825 	0.12907 	0.76098 	0.74395 	0.13369 	0.09605 	0.05195 	0.20212 	0.11948 
0.30236 	0.59201 	0.62039 	0.06955 	0.72964 	0.08500 	0.04205 	0.70883 	0.13407 	0.75936 	0.73598 	0.79323 	0.71563 	0.02049 	0.19430 	0.39366 
0.34806 	0.45569 	0.49647 	0.55236 	0.74077 	0.06925 	0.03777 	0.29493 	0.16823 	0.75499 	0.72723 	0.18717 	0.12618 	0.05752 	0.09296 	0.11253 
0.35339 	0.58723 	0.61391 	0.32732 	0.77174 	0.09642 	0.05070 	0.51547 	0.19379 	0.76211 	0.74701 	0.75401 	0.62335 	0.05242 	0.05360 	0.28309 
0.31912 	0.40650 	0.44859 	0.14428 	0.72779 	0.08728 	0.05300 	0.66742 	0.13211 	0.75958 	0.74055 	0.89661 	0.94350 	0.02635 	0.68230 	0.35031 
0.37243 	0.71834 	0.73999 	0.32493 	0.74839 	0.11645 	0.04335 	0.46087 	0.18177 	0.75916 	0.74571 	0.25312 	0.21846 	0.05100 	0.06561 	0.17225 
0.30312 	0.55004 	0.58359 	0.35297 	0.76390 	0.04779 	0.03979 	0.45143 	0.15437 	0.76015 	0.73187 	0.46524 	0.40301 	0.01596 	0.02764 	0.15901 
0.34273 	0.62516 	0.65345 	0.49076 	0.76115 	0.04075 	0.03805 	0.31949 	0.21076 	0.75811 	0.72811 	0.47415 	0.45198 	0.12014 	0.04634 	0.12503 
0.47753 	0.69295 	0.71134 	0.87192 	0.79424 	0.06659 	0.04424 	0.37580 	0.28920 	0.75974 	0.73144 	0.18717 	0.09228 	0.02427 	0.03406 	0.08031 
0.33892 	0.55419 	0.58811 	0.32275 	0.75096 	0.11664 	0.04700 	0.59304 	0.46937 	0.84520 	0.72794 	0.48128 	0.46704 	0.03343 	0.11279 	0.16961 
0.38842 	0.54112 	0.57467 	0.17171 	0.72176 	0.05257 	0.03818 	0.33917 	0.12582 	0.75901 	0.72248 	0.34225 	0.18832 	0.27900 	0.18537 	0.29941 
0.30845 	0.45240 	0.49107 	0.39906 	0.74878 	0.06379 	0.04442 	0.40616 	0.18755 	0.78562 	0.72687 	0.23351 	0.11488 	1.00000 	0.05081 	0.14551 
0.39985 	0.71770 	0.73391 	0.27650 	0.76455 	0.17109 	0.06401 	0.65867 	0.20764 	0.75921 	0.74949 	0.61497 	0.53861 	0.05544 	0.03266 	0.23147 
0.55141 	0.59807 	0.61421 	0.51043 	0.72089 	0.09225 	0.05062 	0.57336 	0.14083 	0.75872 	0.73884 	0.23529 	0.15443 	0.11182 	0.08152 	0.13544 
0.30617 	0.56832 	0.59655 	0.21362 	0.73643 	0.12580 	0.05928 	0.51274 	0.15264 	0.76045 	0.74012 	0.66667 	0.60075 	0.03778 	0.05779 	0.30190 
0.30236 	0.70006 	0.71330 	0.31092 	0.72578 	0.10294 	0.05352 	0.79788 	0.67670 	0.89256 	0.75340 	0.48663 	0.51224 	0.11881 	0.33194 	0.18146 
0.30998 	0.54388 	0.57594 	0.32493 	0.73872 	0.04763 	0.04202 	0.67425 	0.40190 	0.83425 	0.72743 	0.41533 	0.34463 	0.00869 	0.01005 	0.17295 
0.29322 	0.56832 	0.60047 	0.17924 	0.73782 	0.04459 	0.03620 	0.37182 	0.48747 	0.84306 	0.71833 	0.78610 	0.78154 	0.09907 	0.08180 	0.30315 
0.37852 	0.73300 	0.75157 	0.13734 	0.74909 	0.07712 	0.04548 	0.37966 	0.58553 	0.92472 	0.73539 	0.86988 	0.79284 	0.05601 	0.07705 	0.30479 
0.45468 	1.00000 	1.00000 	0.11343 	0.75858 	0.05594 	0.04145 	0.40082 	0.12134 	0.75827 	0.73451 	1.00000 	1.00000 	0.00000 	0.02959 	0.34602 
0.34958 	0.55812 	0.56515 	0.71689 	0.74140 	0.06278 	0.04343 	0.67846 	0.18478 	0.75767 	0.73130 	0.28520 	0.26930 	0.01275 	0.03127 	0.10287 
0.19269 	0.18721 	0.24235 	0.70043 	0.52592 	0.01220 	0.05771 	0.18631 	0.06899 	0.72389 	0.72644 	0.03565 	0.01883 	0.00057 	0.00447 	0.05300 
0.29474 	0.40895 	0.45330 	0.45109 	0.72489 	0.05227 	0.03701 	0.51172 	0.11946 	0.75752 	0.73042 	0.11230 	0.12053 	0.02833 	0.00000 	0.13455 
0.41813 	0.46037 	0.50020 	0.35337 	0.73895 	0.07572 	0.04620 	0.29333 	0.23643 	0.81273 	0.73074 	0.21390 	0.16949 	0.12439 	0.19458 	0.15886 
0.29246 	0.44730 	0.48970 	0.30015 	0.76269 	0.06228 	0.04162 	0.29481 	0.15633 	0.76956 	0.72622 	0.29234 	0.25612 	0.76322 	0.14210 	0.00000 
0.44707 	0.69688 	0.69368 	0.62078 	0.75250 	0.10137 	0.05234 	0.42084 	0.17430 	0.76118 	0.74902 	0.32264 	0.06403 	0.08925 	0.01452 	0.10432 
0.16527 	0.00000 	0.02109 	0.30172 	0.00000 	0.03875 	0.03644 	0.41617 	0.09183 	0.00000 	0.75043 	0.07130 	0.01318 	0.00161 	0.00223 	0.04157 
0.25819 	0.23778 	0.24725 	0.78905 	0.53293 	0.05321 	0.04540 	0.56210 	0.15832 	0.77952 	0.73778 	0.13012 	0.01695 	0.00661 	0.00279 	0.05727 
0.33054 	0.47163 	0.50922 	0.35342 	0.72970 	0.05807 	0.04101 	0.60510 	0.10403 	0.75845 	0.73414 	0.15152 	0.06215 	0.03683 	0.01731 	0.16537 
0.30693 	0.38377 	0.42229 	0.96091 	0.70387 	0.06866 	0.04635 	0.39013 	0.13622 	0.75984 	0.74693 	0.18182 	0.17702 	0.00614 	0.07845 	0.06986 
0.00000 	0.78782 	0.77129 	0.72971 	0.68377 	0.04771 	0.03840 	0.36374 	0.09324 	0.75639 	0.66259 	0.22638 	0.06215 	0.08141 	0.01647 	0.09466 
0.14851 	0.18785 	0.00000 	0.65224 	0.16583 	0.04734 	0.05316 	0.00000 	0.11244 	0.72480 	0.73750 	0.08734 	0.07721 	0.00038 	0.00335 	0.05125 
0.25057 	0.37728 	0.42975 	0.36200 	0.71992 	0.04367 	0.03662 	0.28583 	0.17302 	0.75879 	0.72035 	0.30838 	0.23729 	0.02021 	0.02820 	0.15609 
0.28941 	0.37516 	0.41729 	0.14499 	0.71659 	0.04754 	0.04415 	0.40491 	0.10584 	0.76335 	0.73398 	0.33333 	0.31827 	0.01199 	0.09966 	0.27921 
0.24600 	0.29664 	0.34154 	0.41445 	0.62890 	0.03860 	0.00000 	0.12398 	0.11613 	0.75728 	0.71778 	0.19073 	0.13559 	0.01067 	0.01759 	0.14103 
0.29322 	0.48757 	0.52394 	0.65317 	0.71519 	0.05375 	0.03916 	0.59611 	0.13808 	0.75844 	0.72426 	0.07843 	0.07721 	0.02541 	0.24791 	0.11586 
0.35339 	0.67563 	0.24627 	0.74738 	0.81794 	0.06048 	0.03963 	0.35134 	0.15055 	0.75986 	0.72884 	0.21034 	0.07533 	0.04467 	0.02596 	0.09741 
0.20335 	0.22833 	0.26589 	0.82781 	0.47098 	0.03729 	0.03978 	0.47043 	0.10220 	0.74544 	0.76015 	0.04991 	0.03578 	0.00510 	0.01535 	0.05858 
0.29246 	0.44082 	0.47390 	0.18274 	0.73667 	0.04851 	0.03845 	0.60783 	0.11184 	0.75933 	0.77154 	0.71123 	0.50847 	0.01086 	0.01033 	0.00000 
0.38005 	0.32235 	0.35714 	0.89618 	0.73191 	1.00000 	0.23926 	0.51172 	0.39782 	0.76086 	0.78668 	0.16043 	0.10734 	0.17935 	0.11530 	0.07607 
0.24524 	0.35263 	0.36725 	0.77260 	0.66159 	0.04669 	0.03678 	0.53185 	0.10416 	0.76001 	0.71255 	0.20321 	0.03390 	0.01757 	0.00223 	0.08324 
0.20183 	0.21143 	0.21615 	0.71868 	0.33853 	0.03921 	0.03782 	0.33474 	0.10290 	1.00000 	0.75492 	0.09982 	0.07533 	0.00888 	0.02959 	0.05590 
0.37852 	0.37282 	0.41209 	0.34619 	0.74264 	0.06940 	0.04802 	0.46076 	0.21893 	0.77761 	0.73892 	0.22103 	0.20904 	0.03627 	0.12088 	0.16123 
1.00000 	0.92531 	0.91150 	0.91328 	1.00000 	0.05671 	0.04828 	0.42732 	0.11417 	0.76784 	0.75364 	0.26560 	0.17702 	0.02531 	0.06030 	0.00000 
0.32140 	0.41107 	0.44937 	0.67804 	0.70744 	0.45371 	1.00000 	0.67675 	0.15453 	0.75800 	1.00000 	0.12478 	0.11676 	0.00397 	0.06505 	0.09773 
0.31226 	0.37463 	0.41376 	0.77310 	0.66192 	0.06692 	0.04120 	0.47498 	0.13090 	0.76056 	0.73953 	0.12478 	0.10923 	0.05062 	0.06728 	0.09576 
0.35263 	0.43179 	0.47057 	0.03352 	0.73771 	0.06138 	0.04340 	0.83053 	0.13378 	0.75994 	0.75403 	0.58645 	0.61582 	0.04741 	0.45645 	0.46956 
0.15308 	0.27975 	0.28159 	1.00000 	0.48895 	0.03308 	0.01166 	0.09531 	0.13140 	0.75367 	0.00000 	0.13191 	0.08475 	0.02134 	0.02596 	0.06687 
0.34044 	0.56407 	0.59557 	0.22447 	0.85340 	0.05653 	0.04622 	0.56222 	0.17522 	0.75958 	0.73534 	0.48485 	0.44821 	0.02399 	0.04467 	0.22532 
0.25819 	0.36719 	0.40286 	0.91951 	0.72472 	0.03908 	0.04368 	0.46747 	0.12218 	0.75451 	0.73748 	0.14082 	0.05461 	0.03164 	0.00865 	0.07592 
0.15385 	0.15300 	0.19643 	0.00000 	0.54863 	0.05594 	0.04145 	0.18107 	0.04455 	0.66103 	0.71173 	0.07843 	0.08475 	0.00000 	0.00000 	0.03573 
0.26657 	0.43253 	0.45408 	0.73897 	0.73861 	0.03874 	0.03430 	0.34167 	0.12889 	0.75738 	0.75231 	0.20321 	0.18079 	0.00992 	0.06533 	0.11516 
0.30998 	0.33457 	0.36695 	0.94876 	0.74501 	0.08927 	0.04781 	0.43665 	0.56567 	0.79195 	0.72254 	0.11408 	0.08286 	0.09124 	0.07203 	0.07119 
0.47753 	0.40257 	0.44643 	0.81050 	0.75014 	0.05739 	0.04319 	0.61852 	0.18960 	0.76371 	0.73494 	0.06061 	0.01883 	0.03221 	0.06533 	0.10053 
0.29931 	0.41001 	0.45526 	0.63382 	0.77855 	0.05594 	0.04145 	0.46338 	0.12134 	0.75827 	0.73451 	0.23351 	0.21281 	0.00000 	0.03266 	0.10103 
