【净资产收益率(％)】	【主营利润增长率(％)】	【总资产增长率(％)】	【每股收益增长率(％)】	【存货周转率】
0.998817562	0.039279075	0.382814169	0.627879269	0.010625641
0.998551201	0.020272824	0.424817331	0.581009713	0
0.998452381	0.045678331	0.372430885	0.603061466	0.001517949
0.985056529	0.023459684	0.271460924	0.113700654	0.000410256
0.998715732	0.061441544	0.245096782	0.999916391	0.171569231
0.998240541	0.087181569	0.361449387	0.531652802	0.000738462
0.998371734	0.034465588	0.339101825	0.572307456	0.001805128
0.997593665	0.017887786	0.269751741	0	0
0.999523504	0.164294396	0.389009956	0.750073157	0.042912821
0.998316077	0.034915017	0.270990899	0.770592088	0.000246154
0.998108781	0.045228902	0.312694954	0.661071862	0.025641026
0.998560856	0.039914915	0.261718583	0.651101543	0.000492308
0.998472258	0.048768156	0.265735162	1	0.001928205
0.998412625	0.028490225	0.184848096	0.656438555	0.003692308
0	0.037729056	0.26987993	0.637961066	0.010830769
0.998416601	0.035941554	0.386574371	0.559027633	0.002584615
0.995638837	0	0.270093578	0.62266767	0.000697436
0.998295631	0.037892484	0.323975559	0.593265332	0.00545641
0.998431367	0.032665318	0.263128659	0.554094728	0.016574359
0.998209305	0.031669425	0.291971115	0.609555063	0.002789744
0.998371166	0.025589365	0.361406657	0.547120382	0.023466667
0.998429095	0.045032277	0.416271418	0.639556596	0.042502564
0.998421712	0.062866438	0.343972995	0.651603194	0.003651282
0.998454652	0.110362914	0.448660428	0.615658487	0.006235897
0.994823853	0.030576495	0.246635047	0.599222441	0.002420513
0.998294495	0.035926232	0.289022775	0.597146162	0.001517949
0.998806203	0.036472697	0.310943041	0.600532308	0.022974359
0.998393316	0.035890482	0.320471734	0.591962432	0.014851282
0.998291088	0.041842863	0.285048925	0.608718978	0.000328205
0.972211573	0.029754244	0.302738965	0.602733999	0.005251282
0.998258147	0.038495128	0.270008119	0.680364533	0.000615385
0.99895841	0.043586954	0.369867111	0.600915514	0.01854359
0.998171822	0.040698862	0.262915011	0.62971169	0.0256
0.999052687	0.035992625	0.324061018	0.647220713	0.001887179
0.998689607	0.092242753	0.364269538	0.780506668	0.024984615
0.998592092	0.062485955	0.580310217	0.770062567	0.010379487
0.998703407	0.050139425	0.27671666	0.610007943	0.017969231
0.998444373	0.021725807	0.304576336	0.676281649	0.008820513
0.998838576	0.062741313	0.475152758	0.631565013	0.012635897
0.998251332	0.03045903	0.436781609	0.533547929	0.001271795
0.998400131	0.03989704	0.312994061	0.579720747	0.001107692
0.998444941	0.038819432	0.303166261	0.599222441	0.007425641
0.99902429	0.038819432	0.303166261	0.599222441	0.004225641
0.998370598	0.038819432	0.303166261	0.599222441	0
0.998577326	0.038819432	0.303166261	0.599222441	0.005210256
0.998724762	0.038819432	0.303166261	0.599222441	0.005948718
0.998471123	0.038403199	0.7006794	0.585622117	0.009682051
0.998648886	0.038819432	0.303166261	0.599222441	0.009723077
0.998817562	0.039279075	0.382814169	0.627879269	0.010625641
0.998618785	0.038819432	0.303166261	0.599222441	0
0.999597903	0.038819432	0.303166261	0.599222441	0
0.998456072	0.04098997	0.346878605	0.605486114	0.005292308
0.998990214	0.038819432	0.303166261	0.599222441	0.006441026
0.999003276	0.038819432	0.303166261	0.599222441	0.005579487
0.998568239	0.038819432	0.303166261	0.599222441	0.002625641
0.99876304	0.038819432	0.303166261	0.599222441	0.029210256
0.998722149	0.038819432	0.303166261	0.599222441	0.070235897
0.999001573	0.038819432	0.303166261	0.599222441	0.076266667
0.998525644	0.038819432	0.303166261	0.599222441	0.010379487
