【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【净资产收益率(％)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
0.401	3.83	3.73	10.47	59.104	0.1349	9.86	1.8	29.05	18.64	5.54	41.13	1.93	1.48	1.41	2.59	40.8
0.115	1.984	1.705	5.78	6.19	0.1753	-16.01	-72.63	5.25	28.47	-21.42	-26.14	0.89	0.88	1.24	0	93.81
0.18	4.49	4.22	4.04	56.154	0.2366	41.67	26.86	21.39	16.21	36.67	5.51	2.16	0.71	3.61	0.37	42.76
-0.215	0.09	-1.25	-231.83	1.066	-2.8042	-51.54	-60.15	22.03	-7.42	-93.49	-696.85	0.75	0.31	0.4	0.1	98.93
0.076	0.871	0.429	8.677	23.554	-1.7842	10.22	88.59	33.36	-13.59	4.07	575.1	0.58	0.58	1.68	41.82	63.77
0.006	1.96	1.87	0.31	44.688	0.4313	288.6	189.39	59.81	13.64	-0.23	-96.98	1.19	1.02	0.15	0.18	54.24
0.112	4.29	3.67	2.62	29.181	0.2098	0.55	-17.05	13.74	8.41	-5	-38.63	1.25	0.57	1.21	0.44	67.07
-0.2	1.82	1.2	-11.08	23.729	-0.1827	-73.52	-81.97	27.45	-7.82	-27.36	-860.04	0.7	0.46	0.2	0	72.08
0.348	1.518	1.315	22.9	36.174	-0.4488	105.38	491.37	39.13	20.09	14.59	216.51	0.9	0.85	1.54	10.46	55.28
0.022	1.31	1.22	1.64	27.803	-1.0869	-28.7	-15.29	32.95	-7.53	3.76	245.96	1.3	0.27	3.27	0.06	69.76
-0.016	0.81	0.78	-2.01	36.048	-0.4405	21.02	25.1	8.61	2.23	-32.97	88.77	1.2	0.97	2.43	6.25	60.15
0.02	0.328	0.058	5.95	7.244	-1.3208	36.48	4.29	25.8	-9.7	-67.81	74.46	0.94	0.26	0.67	0.12	91.2
0.12	2.7	2.57	4.39	63.164	0.1185	10.86	38.96	39.57	-8.76	-5.76	575.22	0.93	0.42	2.34	0.47	35.47
0.06	1.81	1.67	3.34	21.569	-0.2489	-61.39	-40.45	16.87	-27.69	-17.24	82.12	0.99	0.93	0.4	0.9	73.1
-0.37	0.002	-0.201	-17576.4	0.061	-3.1826	-53.4	-4.27	14.97	-7.79	101.62	55.6	0.51	0.45	0.84	2.64	87.41
0.224	6.57	6.19	3.41	40.364	0.3286	2.57	-11.27	17.29	19.52	63.09	-57.69	1.59	0.47	6.02	0.63	57.06
-0.135	0.297	-1.409	-45.5	5.751	-2.4291	-9.99	-152.02	-49.97	-7.74	-37.4	33.65	0.69	0.6	0.02	0.17	94.34
0.023	1.8	1.79	1.28	79.605	0.0149	-29.98	-3.63	10.65	4.87	2.51	-8.55	3.35	2.18	1.62	1.33	20.39
0.064	1.737	1.73	3.67	67.974	0.1917	6.92	-24.1	14.7	-9.37	0.27	-64.77	0.95	0.85	1.87	4.04	32.03
-0.003	1.09	1.06	-0.24	64.281	-0.5146	-27.04	-28	2.36	-2.62	-2.2	14.83	1.31	0.85	0.82	0.68	35.83
0.081	3.1	3.073	2.61	58.807	0.4588	-6.46	-51.81	10.85	13.63	5.11	-74.78	1.98	1.78	1.77	5.72	41.15
0.103	2.851	2.807	3.63	50.94	0.1035	26.67	24.33	41.07	26.47	4.08	57.89	0.87	0.84	1.52	10.36	41.66
0.067	1.92	1.4	3.5	33.217	0.0677	20.87	94.17	18.05	9.55	-16.62	75.18	1.03	0.71	0.62	0.89	64.38
0.181	4.446	4.295	4.08	44.671	0.5402	763.97	280.17	18.04	34.05	64.88	23.59	1	0.63	2.75	1.52	48.31
-0.38	0.63	0.21	-59.85	17.26	-1.3689	-52.9	-32.28	20.25	-13.23	0	0	0.52	0.39	0.68	0.59	82.13
0.03	2.36	2.19	1.26	74.342	0.0829	-5.1	-11.33	40.8	-3.31	-4.22	-2.98	3.31	2.33	1.39	0.37	24.44
0.208	2.02	1.93	10.27	35.012	0.2184	15.57	-9.19	28.3	1.82	4.88	1.88	0.76	0.7	1.63	5.6	46.63
0.066	2.2	2.04	3	61.602	0.0278	7.06	-11.47	34.04	4.05	0.31	-10.42	1.67	1.6	0.95	3.62	19.88
