【净资产收益率(％)】	【主营利润增长率(％)】	【总资产增长率(％)】	【每股收益增长率(％)】	【存货周转率】
0.77844997	0.000583724	0.125401091	0.940245133	0.003460359
0.799210125	1	0.14920584	0.944855349	0.000613228
0.798591788	0.000576785	0.106148725	0.948370392	0.002693824
0.555814858	0.000492031	0.088841649	0.967188636	0
0.827254685	0.000567958	0.160897642	0.967521315	0.2347788
0.778166731	0.000529602	0.039607733	0.938668565	0.001686378
0.798950822	0.000559915	0.07261752	0.949466425	0.002781428
0.33479939	0.000219709	0.027935986	0	0.001335961
0.812514336	0.000483349	0.102258142	0.946868612	0.033683749
0.783592137	0.000413229	0.046446334	0.948958382	0.000941743
0.803717999	0.000557012	0.052262153	0.958382547	0.020061323
0.818458347	0.000461515	0.080639339	0.949349515	0.001335961
0.7957993	0.00064223	0.052984117	0.964112007	0.003832676
0.791131855	0.000605849	0.047148243	0.97063147	0.012198861
0.783332835	0.001400339	0.325184502	0.95868256	0.001248357
0.790314055	0.00042885	0.061848227	0.942132029	0.004029785
0	0	0.036519333	0.93095507	0.001401664
0.781198576	0.000557128	0.091328413	0.942586776	0.006197985
0.782943881	0.000498418	0.057837318	0.947383533	0.00543145
0.779862171	0.000347493	0.048331462	0.941114223	0.003745072
0.79083266	0.000407219	0.058579336	0.94274151	0.025536575
0.793166382	0.00051282	0.113749398	0.948396181	0.036136662
0.791072016	0.000400831	0.080539066	0.944604336	0.003416557
0.797295276	0.000663019	0.107572597	0.947950031	0.005825668
0.523392075	0.000432625	0.030723568	0.946062275	0.003526062
0.782834176	0.000439332	0.046085352	0.942403674	0.002212002
0.805573009	0.00061784	0.154801059	0.94806952	0.030267192
0.77681038	0.00051883	0.037943206	0.938185451	0.016381954
0.787441782	0.000518598	0.04885288	0.945046188	0.001116951
0.789875236	0.000390901	0.033250441	0.939319308	0.005913272
0.782495088	0.000520108	0.025108295	0.957297689	0.001620675
0.790952338	0.000750096	0.083326648	0.958878556	0.007643452
0.77206315	0.000521618	0.041914006	0.919111895	0.028055191
0.935882476	0.00036837	0.144272421	1	0.004248795
0.820532767	0.000628177	0.201708648	0.946909015	0.018791064
0.7998883	0.000671672	0.092030322	0.945303219	0.006373193
0.818298776	0.000461892	0.122974491	0.949351234	0.018177836
0.780542341	0.000254581	0.039006097	0.943520338	0.001401664
0.82198885	0.000752825	0.056353281	0.954013888	0.013512922
0.779822278	0.000351239	0.072196374	0.93943106	0.0021682
0.796138388	0.000489214	0.08346703	0.947720509	0.001905388
0.794941607	0.000489214	0.055831863	0.947196132	0.005716163
0.796896349	0.000489214	0.055831863	0.947196132	0.006811213
0.789955021	0.000564967	0.271598749	0.943614038	0.002956636
0.78957604	0.000462647	0.188833627	0.94652046	0.007074025
0.794343217	0.000489214	0.055831863	0.947196132	0.004051686
0.798312539	0.000577597	0.15119124	0.945855104	0.010118265
0.785648605	0.00046044	0.173030643	0.94370344	0.003876478
0.77844997	0.000583724	0.125401091	0.940245133	0.003460359
0.785147952	0.000568016	0.122152254	0.947582108	0
0.803937408	0.000489214	0.055831863	0.947196132	1
0.791443018	0.000640255	0.066099791	0.948215658	0.006767411
0.796597154	0.000489214	0.055831863	0.947196132	0.008607096
0.797335168	0.000489214	0.055831863	0.947196132	0.005781866
0.787960387	0.000489214	0.055831863	0.947196132	0.003394656
0.798851091	0.000489214	0.055831863	0.947196132	0.046211126
0.791351265	0.000564938	0.617419381	0.946603845	0.094327639
0.790593304	0.000489214	0.055831863	0.947196132	0.034669295
0.787322104	0.000489214	0.055831863	0.947196132	0.006416995
0.805553062	0.000489214	0.055831863	0.947196132	0.016162943
0.788626594	0.000465289	0.338600995	0.943040662	0.066316251
0.807232544	0.000719376	0.167214824	0.950993135	0.00370127
0.796916295	0.000569351	0.083487085	0.948379848	0.013337714
0.79230869	0.00038161	0.188332264	0.946772333	0.015155497
0.798172915	0.000443716	0.092872614	0.946891822	0.05738064
0.795380427	0.000484133	0.291432697	0.944692879	0.013118703
0.78756146	0.000522692	0.185865554	0.943504005	0.011563732
0.791710299	0.000556982	1	0.948171817	0.007993868
0.793704934	0.000657764	0.290931333	0.944156467	0.010337276
0.796637046	0.00052426	0.171486443	0.945946225	0.003197547
0.791191694	0.000442932	0.210171667	0.944459058	0.006855015
0.786384625	0.000559015	0.073439756	0.949254096	0.010249671
0.788618616	0.000493512	0.332303867	0.943155853	0.047087166
0.783542271	0.00035513	0.045303225	0.942439778	0.003066141
0.793226221	0.000693419	0.46715065	0.946571179	0.012505475
0.798332486	0.000514765	0.249618964	0.944886296	0.088677179
0.787242318	0.000561715	0.537461896	0.943475637	0.007752957
0.793166382	0.000440958	0.248656345	0.943858174	0.004862024
0.793405739	0.000548649	0.377386491	0.946100959	0.005935173
0.784601422	0.000980258	0.222324723	0.997005895	0.002080596
0.791730246	0.000522837	0.290048933	0.944630985	0.010556286
0.788339367	0.000521821	0.28373175	0.945567986	0.013556724
0.790848617	0.000522576	0.130515001	0.945565407	0.007095926
0.795699568	0.000489214	0.055831863	0.947196132	0.004577311
0.786362684	0.000634855	0.096061287	0.949628896	0.003788874
0.79061325	0.000545223	0.44206241	0.945982329	0.009329829
0.783931225	0.000487617	0.442543719	0.946143081	0.038348664
0.789057435	0.000502629	0.248515963	0.944730703	0.002321507
0.789935075	0.00052966	0.342692123	0.945119257	0.015462111
0.79165046	0.000589037	0.480847906	0.946847981	0.011782742
0.787641245	0.000596993	0.894713621	0.944309482	0.003679369
0.793485524	0.00048152	0.185263918	0.946468882	0.005957074
0.598589793	0.000372754	0.026171186	0.954275217	0.002343408
0.794841875	0.000431521	0.047489171	0.944560495	0.000613228
0.783771654	0.000489214	0.055831863	0.947196132	0.007555848
0.791829977	0.000709446	0.130454837	0.95102838	0.029544459
0.798591788	0.000576785	0.106148725	0.948370392	0.002693824
1	0.000486398	0.022822076	0.927203628	0.001226456
0.818458347	0.000461515	0.080639339	0.949349515	0.001335961
0.7957993	0.00064223	0.052984117	0.964112007	0.003832676
0.791131855	0.000605849	0.047148243	0.97063147	0.012198861
0.790314055	0.00042885	0.061848227	0.942132029	0.004029785
0	0	0.036519333	0.93095507	0.001401664
0.781198576	0.000557128	0.091328413	0.942586776	0.006197985
0.782943881	0.000498418	0.057837318	0.947383533	0.00543145
0.779862171	0.000347493	0.048331462	0.941114223	0.003745072
0.793166382	0.00051282	0.113749398	0.948396181	0.036136662
0.797295276	0.000663019	0.107572597	0.947950031	0.005825668
0.523392075	0.000432625	0.030723568	0.946062275	0.003526062
0.782834176	0.000439332	0.046085352	0.942403674	0.002212002
0.77681038	0.00051883	0.037943206	0.938185451	0.016381954
0.787441782	0.000518598	0.04885288	0.945046188	0.001116951
0.789875236	0.000390901	0.033250441	0.939319308	0.005913272
0.818298776	0.000461892	0.122974491	0.949351234	0.018177836
0.82198885	0.000752825	0.056353281	0.954013888	0.013512922
0.783332835	0.004025181	0.076227338	0.958522668	0.003504161
0.794183646	0.000585756	0.07835312	0.947978399	0.01108191
0.795659675	0.00051343	0.0612867	0.948722842	0.069513798
0.783691869	0.016090241	0.033972405	0.954405881	0.005847569
0.79143105	0.00051674	0.084529921	0.947559757	0.009943057
0.79487379	0.000506984	0.035596823	0.948874997	0.002562418
0.448792748	0.000779566	0	0.953655421	0.000613228
0.77948319	0.000431986	0.065337719	0.939254835	0.014038546
0.812733746	0.000541478	0.275268731	0.944860507	0.01064389
0.796034667	0.000489214	0.055831863	0.947196132	0.003153745
0.811816214	0.000748121	0.359798652	0.947303587	0.020258432
0.808764424	0.002499671	0.013817584	0.958038694	0.003219448
0.796716832	0.000470225	0.069890101	0.946327043	0.015593517
0.782614766	0.00088119	0.241296326	0.942744948	0.647262374
0.779283727	0.000682182	0.093995668	0.974941674	0.006876916
0.794024075	0.000543452	0.180831863	0.948299902	0.007271134
0.804894833	0.000696787	0.034594096	0.959067676	0.000897941
